Status,Family,Cluster,Page title,Slug,Links to collection(s),Notes
LIVE,Home / navigation,—,Home,index,—,
LIVE,Shop directory,—,Shop workwear by category,kit,all 67,Scanner fast lane
LIVE,Section hub,—,Guides hub,guides,—,
LIVE,Section hub,—,Standards hub,standards,—,
LIVE,Section hub,—,Roles hub,roles,—,
LIVE,Section hub,—,Sectors hub,sectors,—,
LIVE,Section hub,—,Areas hub,areas,—,
LIVE,Section hub,—,Care hub,care,—,
LIVE,Content hub,Hi-vis,"Hi-vis workwear: classes, standards & how to choose",hi-vis-workwear-guide,hi-vis,Pillar
LIVE,Standard explainer,Hi-vis,EN ISO 20471 explained,en-iso-20471-hi-vis-classes-explained,hi-vis,
LIVE,Comparison,Hi-vis,Class 2 vs Class 3 hi-vis,class-2-vs-class-3-hi-vis,hi-vis,
LIVE,Role guide + tool,FR / welding,FR coveralls for welders (standard finder),fr-coveralls-for-welders,flame-retardant | welding-workwear,Interactive
LIVE,Care guide,FR / welding,How to wash FR coveralls,how-to-wash-fr-coveralls,flame-retardant,HowTo
LIVE,Area guide,Local,Workwear in Aberdeen,workwear-aberdeen,offshore-clothing | flame-retardant | hi-vis,Offshore economy
LIVE,Area guide,Local,Workwear in Corby,workwear-corby,hi-vis | footwear | coldstore,Logistics economy
LIVE,Area guide,Local,Workwear in Harrogate,workwear-harrogate,chefswear | hospitality | scrubs,Hospitality economy
LIVE,Content hub,FR / protective,Flame-resistant workwear: the complete guide,fr-workwear-guide,flame-retardant,Pillar for FR/arc/antistatic
LIVE,Standard explainer,FR / protective,EN ISO 11612 explained (heat & flame codes A–F),en-iso-11612-explained,flame-retardant,
LIVE,Standard explainer,FR / protective,IEC 61482 arc flash explained (ATPV & APC),iec-61482-arc-flash-explained,arc-flash,
LIVE,Standard explainer,FR / protective,EN 1149-5 antistatic explained,en-1149-5-antistatic-explained,anti-static-esd,
LIVE,Comparison,FR / protective,Inherent vs treated FR fabric,inherent-vs-treated-fr,flame-retardant,Standalone of welders section
LIVE,Content hub,Footwear,Safety footwear: the complete guide,safety-footwear-guide,footwear,Pillar
LIVE,Standard explainer,Footwear,Safety boot codes S1–S7 explained (EN ISO 20345),safety-boot-codes-explained,footwear,PROMISED on guides hub
LIVE,Comparison,Footwear,Composite vs steel toe caps,composite-vs-steel-toe-caps,footwear,
LIVE,Care guide,Footwear,Safety boot care,safety-boot-care,footwear,PROMISED on care hub
LIVE,Content hub,Gloves,Work gloves: the complete guide,work-gloves-guide,gloves-ppe | gloves-winter,Pillar
LIVE,Standard explainer + tool,Gloves,EN 388 explained + glove marking decoder,en-388-glove-ratings-decoder,gloves-ppe,Interactive
LIVE,Comparison,Hi-vis,Yellow vs orange hi-vis,yellow-vs-orange-hi-vis,hi-vis | rail-spec,
LIVE,Standard explainer,Hi-vis / rail,Rail spec workwear: RIS-3279-TOM explained,rail-spec-workwear-explained,rail-spec,Low competition
LIVE,Care guide,Hi-vis,Caring for hi-vis (wash limits & compliance),caring-for-hi-vis,hi-vis,PROMISED on care hub
LIVE,Care guide,Care,Reproofing waterproofs,reproofing-waterproofs,coats-jackets,PROMISED on care hub
LIVE,Care guide,Care,Getting oil & grease out of workwear,oil-grease-out-of-workwear,coveralls | flame-retardant,PROMISED on care hub
LIVE,Care guide,Care,Washing embroidered & branded workwear,washing-embroidered-workwear,polo-shirts | sweatshirts,PROMISED on care hub
LIVE,Sector hub,Sectors,Construction workwear guide,construction-workwear-guide,construction | hi-vis | footwear,PROMISED on sectors hub
LIVE,Sector hub,Sectors,Warehousing & logistics workwear guide,warehouse-logistics-workwear-guide,hi-vis | footwear | coldstore,PROMISED on sectors hub
LIVE,Sector hub,Sectors,Manufacturing & engineering workwear guide,manufacturing-workwear-guide,coveralls | gloves-ppe | flame-retardant,PROMISED on sectors hub
LIVE,Sector hub,Sectors,Healthcare & care workwear guide,healthcare-workwear-guide,healthcare | scrubs | tunics,PROMISED on sectors hub
LIVE,Sector hub,Sectors,Hospitality & catering workwear guide,hospitality-workwear-guide,hospitality | chefswear | aprons,PROMISED on sectors hub
LIVE,Sector hub,Sectors,Energy & offshore workwear guide,energy-offshore-workwear-guide,offshore-clothing | flame-retardant,PROMISED on sectors hub
LIVE,Role guide,Roles,Kit for warehouse operatives,workwear-for-warehouse-operatives,hi-vis | footwear | coldstore,PROMISED on roles hub
LIVE,Role guide,Roles,PPE for electricians (arc flash),ppe-for-electricians,arc-flash | flame-retardant,PROMISED on roles hub
LIVE,Role guide,Roles,What a chef actually wears,what-chefs-wear,chefswear | aprons | footwear,PROMISED on roles hub
LIVE,Role guide,Roles,Groundworker kit list,groundworker-kit-list,hi-vis | coats-jackets | footwear,PROMISED on roles hub
LIVE,Role guide,Roles,Tunics & scrubs for care staff,workwear-for-care-staff,scrubs | tunics | healthcare,PROMISED on roles hub
LIVE,Role guide,Roles,Workwear for mechanics,workwear-for-mechanics,coveralls | gloves-ppe | footwear,PROMISED on roles hub
LIVE,Role guide,Roles,Kit for rail trackside workers,workwear-for-rail-trackside,rail-spec | hi-vis,
LIVE,Role guide,Roles,Chainsaw & forestry operator kit (EN ISO 11393),chainsaw-forestry-kit,chainsaw-and-forestry | helmets,
LIVE,Area guide,Local,Workwear in Sheffield,workwear-sheffield,per archetype,PROMISED on areas hub
LIVE,Area guide,Local,Workwear in Grimsby,workwear-grimsby,per archetype,PROMISED on areas hub
LIVE,Area guide,Local,Workwear in Crawley,workwear-crawley,per archetype,PROMISED on areas hub
LIVE,Trust,—,About iNeedWorkwear,about,—,E-E-A-T before launch
LIVE,Trust,—,Contact,contact,—,Phone/email already site-wide
LIVE,Standard explainer,Standards,EN 343 waterproofs explained,en-343-waterproofs-explained,coats-jackets,
LIVE,Standard explainer,Standards,EN 342 cold protection explained,en-342-cold-protection-explained,coldstore | thermals-base-layers,
LIVE,Standard explainer,Standards,EN 397 safety helmets explained,en-397-helmets-explained,helmets,
LIVE,Standard explainer,Standards,EN 149 face masks & FFP ratings explained,en-149-ffp-ratings-explained,face-masks-covers | disposable,
LIVE,Standard explainer,Standards,EN 166 safety specs & eye protection explained,en-166-eye-protection-explained,ppe,PPE umbrella per Damien
LIVE,Standard explainer,Standards,EN 13034 chemical splash explained,en-13034-chem-splash-explained,chem-splash,
LIVE,Standard explainer,Standards,EN 511 winter gloves explained,en-511-winter-gloves-explained,gloves-winter,
LIVE,Standard explainer,Standards,EN 407 heat-resistant gloves explained,en-407-heat-gloves-explained,gloves-ppe,
LIVE,Standard explainer,Standards,EN ISO 20347 occupational footwear explained,en-iso-20347-explained,footwear,
LIVE,Comparison,Comparisons,Hoodie vs sweatshirt for team kit,hoodie-vs-sweatshirt,hoodies | sweatshirts,
LIVE,Comparison,Comparisons,Softshell vs fleece,softshell-vs-fleece,softshell-jackets | fleece-jackets,
LIVE,Comparison,Comparisons,Coverall vs bib & brace,coverall-vs-bib-and-brace,coveralls | bib-brace-overalls,
LIVE,Comparison,Comparisons,Embroidery vs print for branded workwear,embroidery-vs-print,polo-shirts,
LIVE,Comparison,Comparisons,Disposable vs reusable PPE,disposable-vs-reusable-ppe,disposable | consumables,Consumables clarified
LIVE,Comparison,Comparisons,Tunic vs scrubs,tunic-vs-scrubs,tunics | scrubs,
LIVE,Buying guide,Buying guides,Choosing polos for a team uniform,choosing-team-polos,polo-shirts,
LIVE,Buying guide,Buying guides,"Work trousers guide (cargo, holster, stretch)",work-trousers-guide,trousers,
LIVE,Buying guide,Buying guides,Thermals & base layers guide,base-layers-guide,thermals-base-layers,
LIVE,Buying guide,Buying guides,Sustainable workwear guide,sustainable-workwear-guide,sustainable,Category differentiator
LIVE,Buying guide,Buying guides,Maternity workwear guide,maternity-workwear-guide,maternity,Under-served niche
LIVE,Buying guide,Buying guides,Disposable PPE buying guide,disposable-ppe-guide,disposable | consumables,
LIVE,Buying guide,Buying guides,Best safety boots for concrete floors,best-safety-boots-concrete-floors,footwear,Rebuild of old guide
LIVE,Sector hub,Sectors,Rail workwear guide,rail-workwear-guide,rail-spec,
LIVE,Sector hub,Sectors,Forestry & arb workwear guide,forestry-workwear-guide,chainsaw-and-forestry,
LIVE,Sector hub,Sectors,Cleaning & FM workwear guide,cleaning-fm-workwear-guide,cleaning | tabards,
LIVE,Sector hub,Sectors,Security uniform guide,security-uniform-guide,security,
LIVE,Sector hub,Sectors,Schoolwear guide,schoolwear-guide,schoolwear,
LIVE,Sector hub,Sectors,Sports & teamwear guide,sports-teamwear-guide,sports-teamwear,
LIVE,Sector hub,Sectors,Painter & decorator workwear guide,painter-decorator-workwear-guide,painter-decorator-clothing,
LIVE,Sector hub,Sectors,Food processing workwear guide,food-processing-workwear-guide,disposable | coldstore,
LIVE,Role guide,Roles,Workwear for plumbers,workwear-for-plumber,per role,
LIVE,Role guide,Roles,Workwear for carpenters,workwear-for-carpenter,per role,
