Group,Category,Suggested Shopify handle,Collection URL,Spec hook,Guide on .uk
Protective & PPE,Hi-Vis,hi-vis,https://www.ineedworkwear.com/collections/hi-vis,EN ISO 20471 · Class 1–3,hi-vis-workwear-guide.html
Protective & PPE,Flame Retardant,flame-retardant,https://www.ineedworkwear.com/collections/flame-retardant,EN ISO 11612,fr-workwear-guide.html
Protective & PPE,Welding Workwear,welding-workwear,https://www.ineedworkwear.com/collections/welding-workwear,EN ISO 11611,fr-coveralls-for-welders.html
Protective & PPE,Arc Flash,arc-flash,https://www.ineedworkwear.com/collections/arc-flash,IEC 61482,iec-61482-arc-flash-explained.html
Protective & PPE,Anti Static / ESD,anti-static-esd,https://www.ineedworkwear.com/collections/anti-static-esd,EN 1149-5,en-1149-5-antistatic-explained.html
Protective & PPE,Chem Splash,chem-splash,https://www.ineedworkwear.com/collections/chem-splash,EN 13034,en-13034-chem-splash-explained.html
Protective & PPE,Chainsaw and Forestry,chainsaw-and-forestry,https://www.ineedworkwear.com/collections/chainsaw-and-forestry,EN ISO 11393,chainsaw-forestry-kit.html
Protective & PPE,Rail Spec,rail-spec,https://www.ineedworkwear.com/collections/rail-spec,RIS-3279-TOM · orange,rail-spec-workwear-explained.html
Protective & PPE,Offshore Clothing,offshore-clothing,https://www.ineedworkwear.com/collections/offshore-clothing,Multi-norm · North Sea,energy-offshore-workwear-guide.html
Protective & PPE,Coldstore,coldstore,https://www.ineedworkwear.com/collections/coldstore,EN 342 · chilled work,en-342-cold-protection-explained.html
Protective & PPE,Footwear,footwear,https://www.ineedworkwear.com/collections/footwear,EN ISO 20345 · S1–S7,safety-footwear-guide.html
Protective & PPE,Gloves PPE,gloves-ppe,https://www.ineedworkwear.com/collections/gloves-ppe,EN 388 · cut & grip,work-gloves-guide.html
Protective & PPE,Gloves Winter,gloves-winter,https://www.ineedworkwear.com/collections/gloves-winter,EN 511 · cold-rated,work-gloves-guide.html
Protective & PPE,Helmets,helmets,https://www.ineedworkwear.com/collections/helmets,EN 397,en-397-helmets-explained.html
Protective & PPE,Face Masks & Covers,face-masks-covers,https://www.ineedworkwear.com/collections/face-masks-covers,EN 149,en-149-ffp-ratings-explained.html
Protective & PPE,Disposable,disposable,https://www.ineedworkwear.com/collections/disposable,Single-use protection,en-149-ffp-ratings-explained.html
Protective & PPE,PPE,ppe,https://www.ineedworkwear.com/collections/ppe,General PPE range,en-166-eye-protection-explained.html
Workwear clothing,Coveralls,coveralls,https://www.ineedworkwear.com/collections/coveralls,Workshop & trade,coverall-vs-bib-and-brace.html
Workwear clothing,Overalls,overalls,https://www.ineedworkwear.com/collections/overalls,Everyday cover,coverall-vs-bib-and-brace.html
Workwear clothing,Bib & Brace Overalls,bib-brace-overalls,https://www.ineedworkwear.com/collections/bib-brace-overalls,Trades classic,coverall-vs-bib-and-brace.html
Workwear clothing,Trousers,trousers,https://www.ineedworkwear.com/collections/trousers,Cargo · holster · stretch,work-trousers-guide.html
Workwear clothing,Joggers,joggers,https://www.ineedworkwear.com/collections/joggers,Comfort workwear,
Workwear clothing,Shorts,shorts,https://www.ineedworkwear.com/collections/shorts,Summer site kit,
Workwear clothing,Polo Shirts,polo-shirts,https://www.ineedworkwear.com/collections/polo-shirts,Embroidered team kit,choosing-team-polos.html
Workwear clothing,T-Shirts,t-shirts,https://www.ineedworkwear.com/collections/t-shirts,Workwear-grade cotton,
Workwear clothing,Shirts,shirts,https://www.ineedworkwear.com/collections/shirts,Work & uniform shirts,
Workwear clothing,Sweatshirts,sweatshirts,https://www.ineedworkwear.com/collections/sweatshirts,Branded layers,hoodie-vs-sweatshirt.html
Workwear clothing,Hoodies,hoodies,https://www.ineedworkwear.com/collections/hoodies,Branded layers,hoodie-vs-sweatshirt.html
Workwear clothing,Fleece Jackets,fleece-jackets,https://www.ineedworkwear.com/collections/fleece-jackets,Warm mid-layers,softshell-vs-fleece.html
Workwear clothing,Softshell Jackets,softshell-jackets,https://www.ineedworkwear.com/collections/softshell-jackets,Wind-resistant,softshell-vs-fleece.html
Workwear clothing,Jackets,jackets,https://www.ineedworkwear.com/collections/jackets,Site & yard,choosing-work-jackets.html
Workwear clothing,Coats & Jackets,coats-jackets,https://www.ineedworkwear.com/collections/coats-jackets,Outdoor & weather,en-343-waterproofs-explained.html
Workwear clothing,Bodywarmers & Gilets,bodywarmers-gilets,https://www.ineedworkwear.com/collections/bodywarmers-gilets,Core warmth,choosing-work-jackets.html
Workwear clothing,Waistcoats,waistcoats,https://www.ineedworkwear.com/collections/waistcoats,Uniform & FOH,choosing-work-jackets.html
Workwear clothing,Knitwear,knitwear,https://www.ineedworkwear.com/collections/knitwear,Smart warmth,choosing-work-jackets.html
Workwear clothing,Thermals & Base Layers,thermals-base-layers,https://www.ineedworkwear.com/collections/thermals-base-layers,Cold-weather base,base-layers-guide.html
Workwear clothing,Painter & Decorator Clothing,painter-decorator-clothing,https://www.ineedworkwear.com/collections/painter-decorator-clothing,Whites & low-lint,painter-decorator-workwear-guide.html
Trades & industries,Chefswear,chefswear,https://www.ineedworkwear.com/collections/chefswear,Whites · jackets · aprons,what-chefs-wear.html
Trades & industries,Hospitality,hospitality,https://www.ineedworkwear.com/collections/hospitality,FOH & housekeeping,hospitality-workwear-guide.html
Trades & industries,Healthcare,healthcare,https://www.ineedworkwear.com/collections/healthcare,Clinical & care,healthcare-workwear-guide.html
Trades & industries,Scrubs,scrubs,https://www.ineedworkwear.com/collections/scrubs,Colour-coded sets,tunic-vs-scrubs.html
Trades & industries,Tunics,tunics,https://www.ineedworkwear.com/collections/tunics,Care & salon,tunic-vs-scrubs.html
Trades & industries,Lab / Medical Coats,lab-medical-coats,https://www.ineedworkwear.com/collections/lab-medical-coats,Labs & clinics,healthcare-workwear-guide.html
Trades & industries,Cleaning,cleaning,https://www.ineedworkwear.com/collections/cleaning,FM & janitorial,cleaning-fm-workwear-guide.html
Trades & industries,Construction,construction,https://www.ineedworkwear.com/collections/construction,Site essentials,construction-workwear-guide.html
Trades & industries,Security,security,https://www.ineedworkwear.com/collections/security,SIA-ready uniform,security-uniform-guide.html
Trades & industries,Schoolwear,schoolwear,https://www.ineedworkwear.com/collections/schoolwear,Education kit,schoolwear-guide.html
Trades & industries,Sports & Teamwear,sports-teamwear,https://www.ineedworkwear.com/collections/sports-teamwear,Clubs & teams,sports-teamwear-guide.html
Trades & industries,Maternity,maternity,https://www.ineedworkwear.com/collections/maternity,Workwear that fits,maternity-workwear-guide.html
Corporate & front of house,Suits & Tailoring,suits-tailoring,https://www.ineedworkwear.com/collections/suits-tailoring,Corporate uniform,front-of-house-uniform-guide.html
Corporate & front of house,Blouses,blouses,https://www.ineedworkwear.com/collections/blouses,Corporate & FOH,front-of-house-uniform-guide.html
Corporate & front of house,Dresses,dresses,https://www.ineedworkwear.com/collections/dresses,Uniform dresses,front-of-house-uniform-guide.html
Corporate & front of house,Skirts,skirts,https://www.ineedworkwear.com/collections/skirts,Corporate uniform,front-of-house-uniform-guide.html
Corporate & front of house,Ties,ties,https://www.ineedworkwear.com/collections/ties,Finishing touches,front-of-house-uniform-guide.html
Corporate & front of house,Scarves,scarves,https://www.ineedworkwear.com/collections/scarves,Uniform accents,front-of-house-uniform-guide.html
Corporate & front of house,Aprons,aprons,https://www.ineedworkwear.com/collections/aprons,Catering · FOH · trades,hospitality-workwear-guide.html
Corporate & front of house,Tabards,tabards,https://www.ineedworkwear.com/collections/tabards,Cleaning & retail,cleaning-fm-workwear-guide.html
Corporate & front of house,Towelling,towelling,https://www.ineedworkwear.com/collections/towelling,Spa & salon,
Accessories & extras,Headwear,headwear,https://www.ineedworkwear.com/collections/headwear,Caps to balaclavas,work-headwear-guide.html
Accessories & extras,Caps,caps,https://www.ineedworkwear.com/collections/caps,Branded headwear,work-headwear-guide.html
Accessories & extras,Beanies,beanies,https://www.ineedworkwear.com/collections/beanies,Winter warmth,work-headwear-guide.html
Accessories & extras,Belts,belts,https://www.ineedworkwear.com/collections/belts,Trade belts,
Accessories & extras,Socks,socks,https://www.ineedworkwear.com/collections/socks,Work socks,
Accessories & extras,Bags,bags,https://www.ineedworkwear.com/collections/bags,Kit & tool bags,
Accessories & extras,Tote Bags,tote-bags,https://www.ineedworkwear.com/collections/tote-bags,Branded totes,
Accessories & extras,Consumables,consumables,https://www.ineedworkwear.com/collections/consumables,Site consumables,
Accessories & extras,Sustainable,sustainable,https://www.ineedworkwear.com/collections/sustainable,Eco-conscious range,sustainable-workwear-guide.html
