Town,Query,Name,Address,Phone,Website
London,A_catering_engineers,SOS Catering Equipment and Engineering Limited,"Unit 5 Lockwood Way, London E17 5RB, UK",020 8531 8543,http://www.soscateringequipment.co.uk/
London,A_catering_engineers,Catering Repairs London,"The Brew, Victoria House, 64 Paul St, London EC2A 4NA, UK",020 3875 8981,https://cateringrepairslondon.co.uk/?utm_source=GoogleGBP&utm_medium=GBP&utm_campaign=OrganicGBP
London,A_catering_engineers,EFS Catering Equipment,"Unit c8, Angel Road Works, Advent Way, London N18 3AH, UK",020 8884 4064,
London,A_catering_engineers,Latek Catering,"Wordsworth Parade, 5 Wordsworth Parade, Green Lanes, Harringay Ladder, London N8 0SJ, UK",020 8889 0220,https://www.latekcatering.com/
London,A_catering_engineers,Blue catering equipment,"737 Sidcup Rd, London SE9 3SA, UK",07383 016301,
London,A_catering_engineers,Magic Hands Services Ltd,"41 Grange Walk, London SE1 3DY, UK",07467 054687,http://www.magichandsservicesltd.co.uk/
London,A_catering_engineers,Romann Catering,"Progress Business Park, 14 Progress Way, Croydon CR0 4XD, UK",01474 706338,https://www.romanncatering.co.uk/
London,A_catering_engineers,Twins Catering Equipment,"189 Uxbridge Rd, London W12, UK",07775 562254,
London,A_catering_engineers,London Atlantic catering equipment ltd,"736, 740 Romford Rd, Fourth Ave, London E12 6BT, UK",07456 893145,https://www.facebook.com/marketplace/you/selling?locale=en_GB
London,A_catering_engineers,Commercial Kitchen Kit Engineers London,"128 City Rd, London EC1V 2NX, UK",07951 062795,https://ckke.co.uk/
London,A_catering_engineers,Euro Catering,"294 Hackney Rd, London E2 7SJ, UK",020 7613 3084,http://www.eurocatering.co.uk/
London,A_catering_engineers,Toprak Catering Equipment,"102 Green Lanes, Newington Green, London N16 9EH, UK",020 3583 2991,http://www.toprockuk.com/
London,A_catering_engineers,Parsley Catering Ltd.,"119 Upper St, London N1 1QP, UK",07876 711532,
London,A_catering_engineers,CC Fix,"Masefield Cl, london DA8 2DG, UK",020 8050 2886,https://www.ccfix.co.uk/
London,A_catering_engineers,Gurden Catering Equipment Trade Ltd,"581 Green Lanes, Harringay Ladder, London N8 0RG, UK",020 8341 3438,
London,A_catering_engineers,Abbey Catering Equipment Ltd,"Unit &, Titan Business Estate, Ffinch St, London SE8 5QA, UK",020 8691 4844,
London,A_catering_engineers,Nisbets Catering Equipment Tower Street Store,"4-10 Tower St, London WC2H 9NP, UK",020 7010 7989,https://www.nisbets.co.uk/towerstreetstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
London,A_catering_engineers,V & S Catering Supplies Co,"85 Castlehaven Rd, London NW1 8SJ, UK",020 7485 2658,https://www.vands.co.uk/
London,A_catering_engineers,C&A Catering Equipment Ltd,"443 Norwood Rd, Norwood, London SE27 9DQ, UK",07401 814414,
London,A_catering_engineers,KK Catering,"KK Catering, London W1A 6US, UK",01928 508802,https://kkcatering.co.uk/
London,A_catering_engineers,Deptford Used Catering Equipment,"160 Trundleys Rd, London SE8 5JE, UK",07920 006478,
London,A_catering_engineers,ProTech Engineers Ltd,"1 Quality Ct, Chancery Ln, London WC2A 1HR, UK",07947 778052,https://www.protechuk.com/
London,A_catering_engineers,Millers Catering Equipment,"3 Columbia Gdns, London SW6 1FU, UK",020 8687 5390,https://millerscatering.co.uk/
London,A_catering_engineers,Shoots & Leaves Catering,"Arch 80, 878 Old Kent Rd, London SE15 1NQ, UK",,http://shootsandleaves.london/
London,A_catering_engineers,London Engineers Company,"Station ​London, 12 Melcombe Pl, London NW1 6JJ, UK",020 3603 7172,http://www.lecompany.co.uk/
London,A_catering_engineers,Nasa Catering Equipment,"5 Green Lanes, Newington Green, London N16 9BP, UK",07944 540090,
London,A_catering_engineers,Capital Catering & Hire LTD,"37 Great Windmill St, London W1D 7LU, UK",07531 274807,https://www.capitalcateringandhire.co.uk/
London,A_catering_engineers,Foodservice Equipment Association,"Rotherwick House, 3 Thomas More Street, London E1W 1YZ, UK",020 7793 3030,http://www.fea.org.uk/
London,A_catering_engineers,LC Global Solutions Ltd,"Flat 2, 90 St Pancras Way, London NW1 9DQ, UK",07795 253156,http://lcglobalsolutions.com/
London,A_catering_engineers,Lockhart Innovation Centre,"61, 62 Berners St, London W1T 3NJ, UK",0370 167 8678,http://www.lockhartcatering.co.uk/
London,A_catering_engineers,KBRH Catering Equipment,"12 Jenner Ave, London W3 6EQ, UK",0333 112 2000,http://www.kbrhcatering.co.uk/
London,A_catering_engineers,Smith's Catering,"Berkeley Suite, 35 Berkeley Square, London W1J 5BF, UK",07936 908323,https://smithscateringlondon.uk/
London,A_catering_engineers,Ece Catering Equipment,"2 Rippers Ct, Sible Hedingham, Halstead CO9 3PY, UK",01787 582574,http://www.ececateringequipment.com/
London,A_catering_engineers,Mix & Blend Catering,"207 Regent St., London W1B 3HH, UK",020 8058 6564,http://www.mixandblendcatering.co.uk/
London,A_catering_engineers,Nisbets,"180 Goldhawk Rd, London W12 8HJ, UK",020 7118 0622,https://www.nisbets.co.uk/shepherdsbushstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
London,A_catering_engineers,dentons catering equipment,"99 Gauden Rd, London SW4 6LE, UK",,
London,A_catering_engineers,Masters Catering,"109-111 Blackfriars Rd, London SE1 8HW, UK",07824 190092,http://www.masterscatering.co.uk/
London,A_catering_engineers,Inn Supplies (UK) Ltd,"Old Gloucester St, London WC1N 3AX, UK",020 8149 0062,https://innsupplies.com/
London,A_catering_engineers,Catering Insight,"16-25 Bastwick St, London EC1V 3PS, UK",020 3176 4234,http://www.cateringinsight.com/
London,A_catering_engineers,Nisbets Catering Equipment Shoreditch Store,"159 Commercial St, London E1 6BJ, UK",020 7426 9950,https://www.nisbets.co.uk/shoreditchstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
London,A_catering_engineers,BBQ Catering,"33 Cavendish Square, London W1G 0PW, UK",020 7129 7963,http://www.akwillbbqsmoker.co.uk/
London,A_catering_engineers,Pandoras Box UK Ltd,"40 Penton St, London N1 9QA, UK",07990 865702,http://www.pandorasboxcatering.co.uk/
London,A_catering_engineers,Fix Catering Equipment Ltd,"Ste 4, Parker House, Admirals Way, London E14 9UQ, UK",020 8089 1473,
London,A_catering_engineers,Dalebrook Supplies Ltd - London Showroom,"28 Mortimer St, London W1W 7RD, UK",01376 510101,http://www.dalebrook.com/
London,A_catering_engineers,Kent Catering.,"27 Unit T, Bromley Business Centre, Hastings Rd, Bromley BR2 8NA, UK",020 8462 9911,http://kentcatering.com/
London,A_catering_engineers,DCI Maintenance Ltd,"Unit 317, 94 Fulham Palace Rd, London W6 9PL, UK",020 3633 8317,http://dcimaintenance.co.uk/
London,A_catering_engineers,Berkeley Catering,"Unit 5, 43-47 Glengall Rd, London SE15 6NF, UK",020 7837 6853,https://www.berkeleycatering.co.uk/
London,A_catering_engineers,Caterkit Services Ltd,"Unit 2 Modular Business Park, Norton Rd, Stevenage SG1 2FZ, UK",01920 872580,https://www.caterkitservices.com/
London,A_catering_engineers,Dans La Cuisine Ltd,"20, 22 Wenlock Rd, London N1 7GU, UK",01536 853998,https://www.danslacuisine.co.uk/
London,A_catering_engineers,Uniwell,"Anchor House, 4 Durham St, London SE11 5JA, UK",01604 830010,
London,A_catering_engineers,C&C Catering Engineers,"Unit 2, Smithy Farm, Chapel Ln, Saighton, Chester CH3 6EW, UK",01244 536354,https://cateringengineers.com/
London,A_catering_engineers,Cee Catering Chargers Ltd,"71 - 75 Shelton St, London WC2H 9JQ, UK",,http://www.mosawholesale.com/
London,A_catering_engineers,Indigo Catering Equipment,"12 Old Bond St, London W1S 4PW, UK",020 7129 7063,https://www.indigoce.co.uk/
London,A_catering_engineers,Gulpas Catering Equipment,"17 Green Lanes, Newington Green, London N16 9BS, UK",07717 488248,
London,A_catering_engineers,UK Commercial Gas Ltd,"4th Floor, Silverstream House, 5 Fitzroy St, London W1T 6EB, UK",0800 085 5077,https://www.ukcommercialgas.uk/
London,A_catering_engineers,Baking,"2-4 Clapham High St, London SW4 7UT, UK",020 7450 0480,https://www.dentonscatering.com/contact-us
London,A_catering_engineers,OKE Catering,"23 Lisle St, London WC2H 7BA, UK",020 3642 1685,http://www.okequipment.co.uk/
London,A_catering_engineers,Commercial Gas Safety Certificates Ltd,"Eagle House, 163 City Rd, London EC1V 1NR, UK",07779 977899,http://www.commercial-gas-safetycertificate.co.uk/
London,B_equipment_repair,Ao-Catering Equipment Maintenance,"161 Woodyates Rd, London SE12 9JJ, UK",07776 987245,http://aocateringequipmentmaintenanceandrepair.com/
London,B_equipment_repair,Catering Repairs London,"The Brew, Victoria House, 64 Paul St, London EC2A 4NA, UK",020 3875 8981,https://cateringrepairslondon.co.uk/?utm_source=GoogleGBP&utm_medium=GBP&utm_campaign=OrganicGBP
London,B_equipment_repair,CC Fix,"Masefield Cl, london DA8 2DG, UK",020 8050 2886,https://www.ccfix.co.uk/
London,B_equipment_repair,EFS Catering Equipment,"Unit c8, Angel Road Works, Advent Way, London N18 3AH, UK",020 8884 4064,
London,B_equipment_repair,SOS Catering Equipment and Engineering Limited,"Unit 5 Lockwood Way, London E17 5RB, UK",020 8531 8543,http://www.soscateringequipment.co.uk/
London,B_equipment_repair,Caterglobe Ltd.,"Unit C6, Bounds Green Industrial Estate, South Way, London N11 2UL, UK",020 8920 0817,http://www.caterglobe.co.uk/
London,B_equipment_repair,Magic Hands Services Ltd,"41 Grange Walk, London SE1 3DY, UK",07467 054687,http://www.magichandsservicesltd.co.uk/
London,B_equipment_repair,Catering Equipment Repair ‍ ️,"Unit 12, Shorncliffe Industrial Estate, North Cl, Folkestone CT20 3UH, UK",01304 873469,https://www.catering-equipment-repair.co.uk/
London,B_equipment_repair,TAG Catering Equipment UK Ltd,"Unit 2, Modular Business Park, Norton Rd, Stevenage SG1 2FZ, UK",01920 877007,https://www.tagukltd.com/
London,B_equipment_repair,Romann Catering,"Progress Business Park, 14 Progress Way, Croydon CR0 4XD, UK",01474 706338,https://www.romanncatering.co.uk/
London,B_equipment_repair,Catering Equipment Support Ltd,"Unit 12 Deer Park Farm Ind Est, Knowle Ln, Fair Oak, Eastleigh SO50 7DZ, UK",023 8000 6082,https://www.cateringequipmentsupport.co.uk/
London,B_equipment_repair,Millers Catering Equipment,"Unit 2, College Fields Business Centre, Prince Georges Rd, London SW19 2PT, UK",020 8687 5390,https://www.millerscatering.co.uk/
London,B_equipment_repair,Catering Technical Services,"5 Emperor Way, Kingsnorth, Ashford TN23 3QY, UK",07946 347871,https://www.catering-technical.services/
London,B_equipment_repair,RTC Technical Ltd,"Unit 1, Boxmend Industrial Estate, Parkwood Industrial Estate, Maidstone ME15 9YG, UK",01322 404909,https://rtctechnical.co.uk/
London,B_equipment_repair,Caterkit Services Ltd,"Unit 2 Modular Business Park, Norton Rd, Stevenage SG1 2FZ, UK",01920 872580,https://www.caterkitservices.com/
London,B_equipment_repair,Euro Catering,"294 Hackney Rd, London E2 7SJ, UK",020 7613 3084,http://www.eurocatering.co.uk/
London,B_equipment_repair,Nasa Catering Equipment,"5 Green Lanes, Newington Green, London N16 9BP, UK",07944 540090,
London,B_equipment_repair,Fan Services LTD,"Ste 44, 2-3 Coleridge Gardens, London NW6 3QH, UK",020 3539 1475,https://www.fanservices.co.uk/
London,B_equipment_repair,Catering Equipment Services Ltd,"Unit 3D, Maryland Industrial Estate, Belfast, Newtownards BT23 6BL, UK",028 9049 1616,https://cescatering.co.uk/
London,B_equipment_repair,CCE London,"Unit 1, Bentley Farm, Old Church Hill, Langdon Hills, Horndon on the Hill, Basildon SS16 6HZ, UK",01268 412121,https://www.cce-london.com/
London,B_equipment_repair,Virtue Facilities Management Services Ltd,"Unit 6, Thames industrial Estate, High St S, Dunstable LU6 3HL, UK",01582 343092,http://www.virtuefms.co.uk/
London,B_equipment_repair,London Engineers Company,"Station ​London, 12 Melcombe Pl, London NW1 6JJ, UK",020 3603 7172,http://www.lecompany.co.uk/
London,B_equipment_repair,Kent Catering.,"27 Unit T, Bromley Business Centre, Hastings Rd, Bromley BR2 8NA, UK",020 8462 9911,http://kentcatering.com/
London,B_equipment_repair,Nisbets Catering Equipment Shoreditch Store,"159 Commercial St, London E1 6BJ, UK",020 7426 9950,https://www.nisbets.co.uk/shoreditchstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
London,B_equipment_repair,Cater Solutions,"Unit 8, Integra:ME Bircholt Rd, Maidstone ME15 9GQ, UK",0845 066 9966,http://www.catersolutions.co.uk/
London,B_equipment_repair,Certa Service,"77-79 The Courtyard, Marlowes, Hemel Hempstead HP1 1LF, UK",0333 358 0395,http://www.certaservice.co.uk/
London,B_equipment_repair,DCI Maintenance Ltd,"Unit 317, 94 Fulham Palace Rd, London W6 9PL, UK",020 3633 8317,http://dcimaintenance.co.uk/
London,B_equipment_repair,Foodservice Equipment Association,"Rotherwick House, 3 Thomas More Street, London E1W 1YZ, UK",020 7793 3030,http://www.fea.org.uk/
London,B_equipment_repair,Nisbets,"180 Goldhawk Rd, London W12 8HJ, UK",020 7118 0622,https://www.nisbets.co.uk/shepherdsbushstore?utm_source=google%20places&utm_medium=maps&utm_campaign=google%20places
Birmingham,A_catering_engineers,Birmingham Catering Equipment Ltd,"139A Middlemore Rd, Birmingham B66 2EA, UK",0121 558 2451,http://www.birminghamcateringequipment.co.uk/
Birmingham,A_catering_engineers,Universal Catering Equipment ltd,"49-51 Stratford Rd, Birmingham B11 1RE, UK",0121 246 3578,http://www.universalcatering.co.uk/
Birmingham,A_catering_engineers,I.Z Global Catering Equipment Ltd,"220 Gooch St, Birmingham B5 7HY, UK",07462 555600,http://www.globalcateringequipment.co.uk/
Birmingham,A_catering_engineers,New Catering Solutionz,"No24, Unit 1b Cheston Rd, Birmingham B7 5EE, UK",07711 825722,http://www.cateringsolutionz.com/
Birmingham,A_catering_engineers,Phoenix Commercial Catering Equipment Ltd,"Unit 11, 94 Bell Ln, Kitt's Green, Birmingham B33 0HX, UK",0121 684 5078,https://www.phoenixcommercialcatering.co.uk/
Birmingham,A_catering_engineers,Catering Equipment Birmingham Ltd,"14 Witton Rd, Handsworth, Birmingham B6 5NY, UK",0121 551 3636,http://cateringequipmentltd.com/
Birmingham,A_catering_engineers,Catering Equipment Outlet Birmingham,"97 Bissell St, Birmingham B5 7HP, UK",07725 330170,
Birmingham,A_catering_engineers,TG4 catering equipment Ltd,"Unit 3, Hawksmill Industrial Estate, Little Green Ln, Small Heath, Birmingham B9 5AY, UK",07746 435833,
Birmingham,A_catering_engineers,Midlands Refrigeration & Catering Equipment,"Unit 4, Euro Enterprise Park, Stratford St N, Birmingham B11 1BU, UK",0121 439 0300,http://www.midlandsrefrigeration.co.uk/
Birmingham,A_catering_engineers,Chefline Ltd,"Unit W, Hamstead Industrial Estate, Austin Way, Birmingham B42 1DU, UK",0121 663 0027,https://www.chefline.co.uk/
Birmingham,A_catering_engineers,Costa Engineers Ltd,"1, 14-16 Bissell St, Birmingham B5 7HP, UK",07952 975492,http://costaengineers.co.uk/
Birmingham,A_catering_engineers,Bournville Catering Equipment,"The Old La, Forshaw Heath Ln, Earlswood, Solihull B94 5LH, UK",01564 820100,http://www.bournvillecatering.co.uk/
Birmingham,A_catering_engineers,Network Catering Engineers Ltd,"Unit 6, Acorn park, Vernon Rd, Blackheath, Halesowen B62 8EG, UK",0333 234 1677,https://www.networklimited.co.uk/
Birmingham,A_catering_engineers,Catermarke Ltd,"39-41 Sydenham Rd, Sparkbrook, Birmingham B11 1DG, UK",0121 753 0664,http://catermarke.co.uk/
Birmingham,A_catering_engineers,ASTONS Catering Equipment,"Unit 2 South Staffs Freight Terminal, Lynn Ln, Shenstone, Lichfield WS14 0ED, UK",0121 643 1131,http://www.astonsgca.com/
Birmingham,A_catering_engineers,Equipment Bazaar Birmingham,"235-238 Great Lister St, Birmingham B7 4BS, UK",0121 359 6124,
Birmingham,A_catering_engineers,Delia Catering Equipment,"Unit 64 Birch Rd E, Witton, Birmingham B6 7DB, UK",07800 588505,http://deliacateringequipment.com/?utm_source=gmb&utm_medium=referral
Birmingham,A_catering_engineers,Cater Flame Ltd,"Unit 57, Wyrley Trading Estate, 59 Wyrley Rd, Birmingham B6 7DB, UK",0121 327 3161,https://caterflame.co.uk/
Birmingham,A_catering_engineers,CateringBase Ltd,"Unit F26, Hastingwood Industrial Park, Wood Ln, Erdington, Birmingham B24 9QR, UK",0121 386 6628,http://www.cateringbase.co.uk/
Birmingham,A_catering_engineers,Nova Catering Repairs,"34 Dudley Rd, Brierley Hill DY5 1LH, UK",01384 210544,http://www.novarepairs.co.uk/
Birmingham,A_catering_engineers,Commercial Catering,"Unit 15, 34-37 Nursery Rd, Lozells, Birmingham B19 2XN, UK",07916 962261,http://commercialcateringbham.co.uk/
Birmingham,A_catering_engineers,Tansik London ltd (Tansik Catering),"Unit 12, Green Lane Industrial Estate, Second Ave, Birmingham B9 5QP, UK",07411 203963,http://www.tansik.co.uk/
Birmingham,A_catering_engineers,Birmingham International Catering Equipment & Refrigeration,"41 Nursery Rd, Lozells, Birmingham B19 2XN, UK",,
Birmingham,A_catering_engineers,In-Charge Catering Supplies Ltd,"Unit 11, St Andrews Industrial Estate, Sydney Rd, Birmingham B9 4QB, UK",0121 772 1910,http://www.inchargecateringsupplies.co.uk/
Birmingham,A_catering_engineers,HNR Catering Supplies,"213 The Avenue, Acocks Green, Birmingham B27 6NP, UK",0121 707 3025,https://www.hnrcateringsupplies.co.uk/
Birmingham,A_catering_engineers,RHE Catering Equipment Sevices,"The Courtyard, Burnsall Rd, Coventry CV5 6UT, UK",024 7666 7541,http://www.rheservices.co.uk/
Birmingham,A_catering_engineers,Forming and Catering Equipment Ltd,"66 Rea St S, Deritend, Birmingham B5 6LB, UK",0845 331 3226,http://formingandcatering.com/
Birmingham,A_catering_engineers,Palmer Hire,"Avenue Rd, Nechells, Birmingham B7 4NT, UK",0121 439 1543,http://palmerhire.co.uk/
